Option,Strike Price,Expiry,Expiry Epoch,Number of Contracts Sold (ETH),Premium (ETH),Block Nearest Expiry,Epoch Nearest Expiry,Historical $Price/Eth Nearest Expiry
O-WETH-17-SEP-21-3900C,3900,17-Sep-21,1631865600,3,0.01,13242009,1631865606,3398.82
O-WETH-24-SEP-21-4200C,4200,24-Sep-21,1632470400,299.87,0.82,13287281,1632470418,2930.86
O-WETH-01-OCT-21-3400C,3400,1-Oct-21,1633075200,222.14,0.93,13332233,1633075200,3310.63
O-WETH-08-OCT-21-3700C,3700,8-Oct-21,1633680000,299.82,2.52,13376992,1633680025,3562.84
O-WETH-15-OCT-21-4300C,4300,15-Oct-21,1634284800,1274.57,5.03,13421464,1634284806,3868.16
O-WETH-22-OCT-21-4500C,4500,22-Oct-21,1634889600,2972.69,16.35,13466229,1634889602,3971.95
O-WETH-29-OCT-21-4900C,4900,29-Oct-21,1635494400,2976.38,14.88,13510922,1635494438,4417.4
O-WETH-05-NOV-21-5200C,5200,5-Nov-21,1636099200,5509.54,19.83,13555417,1636099255,4480.09
O-WETH-12-NOV-21-5400C,5400,12-Nov-21,1636704000,13128.24,29.41,13600143,1636704003,4668.7
O-WETH-19-NOV-21-5500C,5500,19-Nov-21,1637308800,16211.68,36.31,13644485,1637308801,4299.27
O-WETH-26-NOV-21-5000C,5000,26-Nov-21,1637913600,19071.01,48.82,13688576,1637913610,4042.55
O-WETH-03-DEC-21-4900C,4900,3-Dec-21,1638518400,19230.86,36.54,13732422,1638518410,4219.32
O-WETH-10-DEC-21-5500C,5500,10-Dec-21,1639123200,18785.57,1.33,13776152,1639123239,3902.49
O-WETH-17-DEC-21-4800C,4800,17-Dec-21,1639728000,18169.74,99.93,13821469,1639728013,3876.37
O-WETH-24-DEC-21-4500C,4500,24-Dec-21,1640332800,18190.77,83.13,13866700,1640332803,4047.87
O-WETH-31-DEC-21-4700C,4700,31-Dec-21,1640937600,19366.89,89.09,13911953,1640937603,3675.79
O-WETH-07-JAN-22-4400C,4400,7-Jan-22,1641542400,20102.22,69.5,13957129,1641542402,3196.47
O-WETH-14-JAN-22-3700C,3700,14-Jan-22,1642147200,22347.09,67.04,14002449,1642147216,3309.66
O-WETH-21-JAN-22-3700C,3700,21-Jan-22,1642752000,23598.72,42.74,14047733,1642752003,2569.59
O-WETH-28-JAN-22-3200C,3200,28-Jan-22,1643356800,23250.16,97.65,14092968,1643356815,2547.03
O-WETH-04-FEB-22-2800C,2800,4-Feb-22,1643961600,11856.81,35.93,14138305,1643961619,2804.9
O-WETH-11-FEB-22-3200C,3200,11-Feb-22,1644566400,10995.23,35.18,14183543,1644566400,2928.93
O-WETH-18-FEB-22-3500C,3500,18-Feb-22,1645171200,22783.41,79.32,14228851,1645171211,2780.72
O-WETH-25-FEB-22-3300C,3300,25-Feb-22,1645776000,22998.7,75.9,14274076,1645776003,2769
O-WETH-04-MAR-22-3000C,3000,4-Mar-22,1646380800,10494.69,53.52,14319224,1646380805,2622.51
O-WETH-11-MAR-22-3100C,3100,11-Mar-22,1646985600,24038.61,139.42,14364371,1646985609,2557.57
O-WETH-18-MAR-22-3000C,3000,18-Mar-22,1647590400,25071.61,95.27,14409204,1647590405,2941.32
O-WETH-25-MAR-22-3200C,3200,25-Mar-22,1648195200,24509.11,80.88,14454219,1648195215,3104.04
O-WETH-01-APR-22-3500C,3500,1-Apr-22,1648800000,23954.58,86.77,14499132,1648800000,3455.72
O-WETH-08-APR-22-3700C,3700,8-Apr-22,1649404800,23973.26,76.71,14543934,1649404808,3192.92
O-WETH-15-APR-22-3600C,3600,15-Apr-22,1650009600,25030.71,93.2,14588734,1650009621,3041.21
O-WETH-22-APR-22-3400C,3400,22-Apr-22,1650614400,25710.96,48.95,14633467,1650614404,2963.17
O-WETH-29-APR-22-3300C,3300,29-Apr-22,1651219200,26335.65,110.61,14678008,1651219215,2817.23
O-WETH-06-MAY-22-3200C,3200,6-May-22,1651824000,26530.82,78.15,14722361,1651824010,2692.08
O-WETH-13-MAY-22-3000C,3000,13-May-22,1652428800,26302.7,73.7,14766186,1652428803,2006.51
O-WETH-20-MAY-22-2400C,2400,20-May-22,1653033600,13866.41,93.21,14809913,1653033620,1956.88
O-WETH-27-MAY-22-2300C,2300,27-May-22,1653638400,20703.42,91.1,14852973,1653638414,1724.73
O-WETH-03-JUN-22-2100C,2100,3-Jun-22,1654243200,20428.51,57.2,14895968,1654243219,1773.59
O-WETH-10-JUN-22-2000C,2000,10-Jun-22,1654848000,20809.21,93.89,14937329,1654848012,1661.1
O-WETH-17-JUN-22-2050C,2050,17-Jun-22,1655452800,20602.06,61.82,14978079,1655452824,1085.21
O-WETH-24-JUN-22-1350C,1350,24-Jun-22,1656057600,10536.42,66.8,15017287,1656057603,1224.12
O-WETH-01-JUL-22-1350C,1350,1-Jul-22,1656662400,9752.39,65.44,15055425,1656662404,1058.01
O-WETH-08-JUL-22-1250C,1250,8-Jul-22,1657267200,10945.22,62.61,15100711,1657267203,1214
